Date,Close_QQQ,Close_SPY,High_QQQ,High_SPY,Low_QQQ,Low_SPY,Open_QQQ,Open_SPY,Volume_QQQ,Volume_SPY
2015-01-02,94.78440856933594,170.58963012695312,95.94457790388628,171.79372424609872,94.32402190564177,169.55162669385544,95.53944241679665,171.37852287285963,31314600,121465900
2015-01-05,93.39405822753906,167.50885009765625,94.48057125996067,169.7094124002523,93.12703306428055,167.20160512320268,94.37007590880198,169.54333437814066,36521300,169632600
2015-01-06,92.1418228149414,165.93109130859375,93.68872289409231,168.33925432728057,91.72747746470013,165.13389905628293,93.53219305288523,167.8160965157347,66205500,209151400
2015-01-07,93.32958984375,167.99876403808594,93.55057348674633,168.33923217765732,92.52851447859116,166.81129428862295,92.74950514653085,167.25970616027502,37577400,125346700
2015-01-08,95.11592102050781,170.97991943359375,95.30007294085011,171.19583225581977,94.02019812711839,169.3938598269918,94.1214837907903,169.41045875874744,40212600,147217800
2015-01-09,94.48976135253906,169.60977172851562,95.43815675542663,171.4117442821808,93.9372917363448,168.9952690955981,95.41053467960552,171.39513267833408,41410100,158567300
2015-01-12,93.50455474853516,168.2810516357422,94.77521969050746,169.90034655202714,93.26515166383504,167.67486139434192,94.67393404024759,169.742568058979,34129800,144396100
2015-01-13,93.4769287109375,167.8077850341797,95.4105588067012,170.63114924503202,92.7218946728103,166.5040466673083,94.41612167601326,169.50180102650307,56162300,214553300
2015-01-14,92.9613037109375,166.79469299316406,93.44010992668221,166.99399421006802,92.14181575220215,164.89307631509837,92.53774868928346,165.78990011381592,51354200,192991100
2015-01-15,91.75509643554688,165.2667236328125,93.54139255531531,167.74961921677988,91.64460106759341,165.15046777942544,93.39407242298954,167.43407485526512,51005400,176613900
2015-01-16,92.8323974609375,167.43409729003906,92.95209550432826,167.5918758274063,91.48806879884043,164.8764555018834,91.63538892724864,165.0591451061045,35362200,211879600
2015-01-20,93.56903076171875,167.79116821289062,93.80842687813765,168.33923703813153,92.34439999140238,166.2217076103842,93.39408150168893,168.07350209100636,30964100,130991100
2015-01-21,94.0478286743164,168.63818359375,94.48980315782676,169.11981868528147,92.96131538667231,166.8611223040703,93.29279449306854,167.3261457935656,40128800,122942700
2015-01-22,95.78810119628906,171.14601135253906,95.88938688041526,171.27886616224333,93.58745228654136,168.0153894461542,94.41615014532535,169.3938610482265,40887200,174356000
2015-01-23,95.99987030029297,170.2075958251953,96.29451761057327,171.14595467394776,95.5026516470176,170.07472838855253,95.77887954887325,170.8885192638513,34783000,117516800
2015-01-26,95.88935852050781,170.60618591308594,96.06430774588286,170.6975306921512,95.40134965492987,169.27754955597067,95.88935852050781,169.9916961911345,19960900,92009700
2015-01-27,93.40324401855469,168.35580444335938,94.43450559892264,169.50175125691902,93.09017744955538,167.5254019579997,94.37926144995797,168.54679346712993,45253200,134044600
2015-01-28,92.92445373535156,166.19674682617188,95.00540367352316,169.64291194582583,92.90604135755528,166.00575780939621,94.90411803328402,169.54326770593173,43591700,168514300
2015-01-29,93.81761169433594,167.7330322265625,93.99256090795463,167.9904550151743,92.04051855187267,164.98438887060598,92.85079670584071,166.396083481987,46539700,173585400
2015-01-30,93.0901870727539,165.62380981445312,94.45293476261187,167.88250608803452,92.96127936188208,165.35808754923485,93.73473265205642,166.5538694200649,42927600,197729700
2015-02-02,93.9005126953125,167.67491149902344,93.98337896311456,167.7662563027714,91.84718408543365,164.30347856768063,93.30200833638305,166.12206250624723,43624700,163107000
2015-02-03,94.80284881591797,170.0996551513672,94.86730268678618,170.10796728625976,93.62425973435938,168.19803888875214,94.24117635909005,168.571717501736,30750400,124212900
2015-02-04,94.71997833251953,169.4519805908203,95.34610463224394,170.54811828639697,94.2043403636646,168.9952565509967,94.416121372739,169.33572471440522,34073200,134306700
2015-02-05,95.53945922851562,171.1625518798828,95.60391309177679,171.3120309123375,94.71997138493326,170.04151615568486,94.9593674342209,170.11624933644418,23605500,97953200
2015-02-06,94.95935821533203,170.68927001953125,95.91696339434857,172.0926525482205,94.6186765532876,170.1661122868168,95.68677004434296,171.52797214814254,34169300,125672000
2015-02-09,94.65552520751953,169.92529296875,95.10670228698241,170.76399505727906,94.42533181647492,169.51839112153613,94.59107133902484,170.04154882924846,22604700,87219000
2015-02-10,96.12876892089844,171.735595703125,96.25767666783219,171.99301853577376,95.0330460470162,169.96683373939678,95.18037320062354,170.96332720517879,23686500,96164200
2015-02-11,96.47865295410156,171.83518981933594,96.69963664257362,172.2670026837243,96.0550979574698,170.92175463693937,96.23924986037237,171.56946759805336,20303600,91087800
2015-02-12,97.60197448730469,173.4877471923828,97.63880626406666,173.54588146900602,96.95743595632804,171.86846430636157,97.1047560384328,172.63243334307566,22520300,97545900
2015-02-13,98.43989562988281,174.201904296875,98.45830800841594,174.25172643921942,97.69406433782487,173.35488986419506,97.87822324787676,173.61232538454388,29030200,93670400
